GEOID,STATE,GROUP,Sum of home_device_count
34023002000,New Jersey,0,2076
34023002101,New Jersey,0,1059
34023002102,New Jersey,0,1178
34023002200,New Jersey,0,1920
34023002301,New Jersey,0,2492
34023002302,New Jersey,0,2001
34023002401,New Jersey,0,2663
34023002402,New Jersey,0,560
34023002500,New Jersey,0,3523
34023002603,New Jersey,0,1775
34023002604,New Jersey,0,3232
34023002605,New Jersey,0,1256
34023002701,New Jersey,0,2431
34023002703,New Jersey,0,2907
34023002805,New Jersey,0,1011
34023002901,New Jersey,0,1485
34023002902,New Jersey,0,1318
34023003001,New Jersey,0,2512
34023003002,New Jersey,0,2861
34023003101,New Jersey,0,1044
34023003102,New Jersey,0,2069
34023003201,New Jersey,0,2634
34023003203,New Jersey,0,1954
34023003300,New Jersey,0,2564
34023003401,New Jersey,0,1792
34023003500,New Jersey,0,1237
34023003600,New Jersey,0,2859
34023003700,New Jersey,0,2289
34023003800,New Jersey,0,2997
34023004000,New Jersey,0,1371
34023004100,New Jersey,0,767
34023004200,New Jersey,0,1127
34023004300,New Jersey,0,1169
34023004400,New Jersey,0,1184
34023004500,New Jersey,0,2181
34023004600,New Jersey,0,1351
34023004700,New Jersey,0,1325
34023004800,New Jersey,0,2218
34023004900,New Jersey,0,1397
34023005000,New Jersey,0,1152
34023005100,New Jersey,0,5444
34023005200,New Jersey,0,2264
34023005300,New Jersey,0,952
34023005500,New Jersey,0,967
34023005601,New Jersey,0,740
34023005602,New Jersey,0,1399
34023005700,New Jersey,0,1370
34023005800,New Jersey,0,1885
34023006001,New Jersey,0,913
34023006002,New Jersey,0,1889
34023006101,New Jersey,0,1927
34023006103,New Jersey,0,2477
34023006104,New Jersey,0,1888
34023006203,New Jersey,0,3567
34023006204,New Jersey,0,900
34023006205,New Jersey,0,2751
34023006206,New Jersey,0,884
34023006207,New Jersey,0,3502
34023006300,New Jersey,0,4639
34023006403,New Jersey,0,1642
34023006500,New Jersey,0,4657
34023006601,New Jersey,0,1248
34023006604,New Jersey,0,3155
34023006605,New Jersey,0,1976
34023006606,New Jersey,0,1940
34023006607,New Jersey,0,1769
34023006608,New Jersey,0,2048
34023006701,New Jersey,0,2221
34023006703,New Jersey,0,2916
34023006800,New Jersey,0,2510
34023006900,New Jersey,0,1543
34023007000,New Jersey,0,4059
34023007101,New Jersey,0,1771
34023007102,New Jersey,0,2610
34023007103,New Jersey,0,2468
34023007202,New Jersey,0,2467
34023007203,New Jersey,0,2352
34023007301,New Jersey,0,2059
34023007303,New Jersey,0,950
34023007304,New Jersey,0,2671
34023007402,New Jersey,0,2134
34023007500,New Jersey,0,1752
34023007600,New Jersey,0,2276
34023007702,New Jersey,0,3336
34023007703,New Jersey,0,1566
34023007704,New Jersey,0,1912
34023007801,New Jersey,0,1543
34023007804,New Jersey,0,3072
34023007805,New Jersey,0,3019
34023007806,New Jersey,0,2990
34023007905,New Jersey,0,1804
34023007906,New Jersey,0,646
34023007907,New Jersey,0,1722
34023007908,New Jersey,0,2598
34023007909,New Jersey,0,3011
34023007910,New Jersey,0,1511
34023007911,New Jersey,0,1951
34023007912,New Jersey,0,4219
34023008001,New Jersey,0,4379
34023008101,New Jersey,0,3080
34023008102,New Jersey,0,1945
34023008103,New Jersey,0,1483
34023008202,New Jersey,0,8564
34023008204,New Jersey,0,1140
34023008205,New Jersey,0,669
34023008206,New Jersey,0,1279
34023008207,New Jersey,0,817
34023008208,New Jersey,0,8043
34023008209,New Jersey,0,2330
34023008300,New Jersey,0,2768
34023008403,New Jersey,0,2554
34023008404,New Jersey,0,2018
34023008405,New Jersey,0,2116
34023008406,New Jersey,0,850
34023008501,New Jersey,0,2222
34023008502,New Jersey,0,2424
34023008503,New Jersey,0,3862
34023008504,New Jersey,0,3161
34023008601,New Jersey,0,1199
34023008602,New Jersey,0,1578
34023008604,New Jersey,0,1527
34023008605,New Jersey,0,968
34023008606,New Jersey,0,1140
34023008700,New Jersey,0,1570
34023008800,New Jersey,0,3885
34023008900,New Jersey,0,2294
34023009000,New Jersey,0,1831
34023009100,New Jersey,0,1934
34023009200,New Jersey,0,2469
34023009300,New Jersey,0,1495
34023009400,New Jersey,0,3076
34025800100,New Jersey,0,1279
34025800200,New Jersey,0,1584
34025800400,New Jersey,0,1673
34025800500,New Jersey,0,2276
34025800601,New Jersey,0,3270
34025800602,New Jersey,0,2422
34025800701,New Jersey,0,3589
34025800702,New Jersey,0,2430
34025800800,New Jersey,0,3715
34025800900,New Jersey,0,1971
34025801000,New Jersey,0,1945
34025801100,New Jersey,0,2845
34025801200,New Jersey,0,1774
34025801300,New Jersey,0,2270
34025801400,New Jersey,0,2236
34025801500,New Jersey,0,3595
34025801600,New Jersey,0,2248
34025801700,New Jersey,0,2015
34025801800,New Jersey,0,3473
34025801900,New Jersey,0,1822
34025802000,New Jersey,0,1681
34025802100,New Jersey,0,3442
34025802200,New Jersey,0,1920
34025802300,New Jersey,0,3421
34025802400,New Jersey,0,4437
34025802500,New Jersey,0,1587
34025802600,New Jersey,0,2536
34025802700,New Jersey,0,2433
34025802800,New Jersey,0,2604
34025802900,New Jersey,0,956
34025803000,New Jersey,0,2877
34025803100,New Jersey,0,1708
34025803201,New Jersey,0,1949
34025803202,New Jersey,0,2975
34025803300,New Jersey,0,3052
34025803400,New Jersey,0,1171
34025803500,New Jersey,0,703
34025803600,New Jersey,0,1572
34025803700,New Jersey,0,2790
34025803800,New Jersey,0,1669
34025803900,New Jersey,0,1664
34025804100,New Jersey,0,1083
34025804200,New Jersey,0,2463
34025804500,New Jersey,0,1841
34025804600,New Jersey,0,1798
34025804700,New Jersey,0,193
34025804800,New Jersey,0,3614
34025805001,New Jersey,0,1935
34025805100,New Jersey,0,1896
34025805300,New Jersey,0,2351
34025805400,New Jersey,0,1572
34025805500,New Jersey,0,1441
34025805600,New Jersey,0,1063
34025805700,New Jersey,0,1191
34025805800,New Jersey,0,1014
34025805900,New Jersey,0,2093
34025806000,New Jersey,0,1381
34025806100,New Jersey,0,1156
34025806201,New Jersey,0,1942
34025806202,New Jersey,0,2969
34025806300,New Jersey,0,851
